不安
不足
不幸
不知所措
多余
无力
无足轻重
失去
失败
丧失
损失
输
错过
一无所有
万念俱灰
心灰意冷
心痛
心碎
心酸
气馁
可怜
可悲
失望
打击
后悔
次等
灰心
自卑
自暴自弃
自责
低沉
低迷
低落
弄痛
折磨
抑郁
肝肠寸断
受不了
受苦
受伤
孤
忽略
忽视
放弃
放纵
泣
泄气
沮丧
空洞
空虚
哀求
哀怨
哀凄
哀痛
哀愁
哀伤
哀号
哀恸
柔肠寸断
流泪
苦
苦恼
郁
哭泣
哭喊
哭诉
哭闹
哽咽
差
差劲
悔之
悔改
悔恨
悔悟
悔意
悔过
挫折
挫败
消沉
疼痛
破灭
迷惘
啜泣
寂寞
寂寥
患病
惋惜
欲绝
眼泪
累
逝世
悲哀
悲苦
悲凄
悲情
悲痛
悲愁
悲伤
悲剧
悲恸
悲悯
悲惨
悲愤
悲观
痛不欲生
痛苦
痛哭流涕
感伤
愁
落空
摧毁
鼻酸
震惊
懊悔
懊恼
褫夺
蹂躏
默哀
蹧蹋
乐极生悲
亏损
伤
伤人
伤亡
伤心
伤害
伤神
伤痕
伤悲
伤痛
伤感
伤势
伤残
呜咽
忧心
忧郁
忧患
忧愁
忧伤
扫兴
损害
无用
无助
无益
无能
无望
无意义
无精打采
毁坏
毁伤
泪流满面
泪珠
烂
烦恼
穷困
绝望
虚弱
输家
输掉
迟钝
遗憾
遗弃
阴沉
阴暗
难过
[bobo纠结]
[cai插眼]
[bed凌乱]
[泪流满面]
[淚流滿面]
[内牛满面]
[懒得理你]
[xb伤心]
[打哈欠]
[c抓狂]
[c委屈]
[c冷眼]
[沙尘暴]
[g头晕]
[右哼哼]
[左哼哼]
[c烦躁]
[好囧]
[糾結]
[闪电]
[不要]
[伤心]
[感冒]
[悲伤]
[生病]
[闭嘴]
[黑线]
[吃惊]
[失望]
[睡觉]
[拍砖]
[委屈]
[可怜]
[呜呜]
[抓狂]
[困]
[累]
[淚]
[弱]
[汗]
[囧]
[衰]
[泪]
[晕]
[din推撞]
[哭]
[挖鼻屎]
[浮云]
[打哈气]
