不平
不甘
不悦
不爽
不满
否定
否认
无情
无理
无礼
讨厌
干
损失
白痴
下流
王八蛋
他妈的
呸
垃圾
放屁
狗屁
淫妇
混蛋
笨蛋
妈的
愚蠢
该死
贱
贱人
贱货
操
荡妇
蹩脚
坏蛋
烂货
仇人
仇恨
仇敌
反驳
斗争
打岔
打架
打断
忌妒
抗议
批评
取笑
抱怨
侮辱
冒犯
怨恨
指责
辱骂
插嘴
嘲弄
嘲笑
嘲讽
嘲骂
争吵
争论
敌人
讥
诅咒
谴责
责备
驳斥
凶
七窍生烟
上当
小气
不贞
仇
仇杀
仇视
公愤
反抗
反叛
反派
反感
反对
气急败坏
气愤
气馁
世仇
可笑
可鄙
可憎
可恶
可耻
打仗
打搅
打败
生气
矛盾
吃醋
成见
有害
自责
作弊
作呕
低能
冷酷
吝啬
吹毛求疵
坏人
坏话
屁眼
批判
折磨
攻击
狂怒
狂暴
狂躁
邪恶
刺痛
刺伤
卑劣
卑鄙
受害
受罪
受骗
咒骂
咆啸
性骚扰
抨击
易怒
歧视
非礼
非难
肮脏
侵犯
侵略
侵袭
叛乱
咬牙切齿
哄骗
威胁
怒
怒不
怒火
怒气
怒斥
怒目
怒色
怒吼
怒视
怒骂
恨
挖苦
拷打
拷问
挑剔
挑衅
狠心
看不起
背叛
胡扯
苛求
虐待
复仇
倔强
奚落
差
差劲
恐吓
挫折
消灭
破坏
缺德
荒唐
荒谬
偏执
偏见
得罪
混账
盛怒
笨
粗暴
粗鲁
羞辱
羞愤
羞耻
造反
欺
傲慢
嫉
嫌
愚笨
惹恼
遇难
触怒
鄙
酷刑
憎
撒谎
暴力
暴怒
暴躁
蔑视
震怒
激怒
激动
蹂躏
瞧不起
糟蹋
蠢
丢下
严酷
严厉
义愤
亵渎
众怒
伤天害理
伤害
冲突
势利
厌恶
厌烦
发狂
发怒
唠叨
处罚
对抗
对质
强奸
强暴犯
恶言
恶狠狠
恶意
恼
愤
战斗
战火
战乱
战争
抛弃
报仇
报复
损人
损坏
损害
损伤
敌意
敌对
敌视
杀
杀死
残忍
残酷
残暴
毁坏
毁伤
毁损
毁灭
毁谤
滥用
烂
烦
烦人
烦心
烦忙
烦扰
烦愁
烦躁
烦乱
烦劳
烦恼
烦杂
烦琐
烦闷
胁迫
讽刺
诈骗
说谎
谋杀
败坏
轻视
顽固
顽强
骗
骚扰
龌龊
[xb害怕]
[杀死你]
[草泥马]
[c发火]
[鄙视]
[怒骂]
[哼]
[怒]
[吐]
[左哼哼]
[右哼哼]
[不]
