不可思议
不平
不甘
不安
不利
不足
不定
不宜
不幸
不拘小节
不服
不知所措
不便
不耐
不耐烦
不准
不屑
不悦
不爽
不祥
不符
不顺
不当
不解
不满
不适
正
多余
好
否定
否认
足够
肯定
哇
哎呀
恰好
耶
单独
无力
无足轻重
无情
无理
无暇
无趣
无礼
想
过分
对
认真
嘻
嘻嘻
随便
随意
丰富
愿意
小心
分享
支持
支撑
付出
失去
失败
打
同意
成功
死
吸引
希望
忘记
协助
抱
玩
信任
相信
讨厌
贡献
逃避
喜爱
喜欢
丧失
期望
答应
干
爱
爱好
感谢
损失
经历
遇到
游戏
鼓励
适合
担心
输
错过
帮忙
帮助
应付
谢谢
怀念
关心
关怀
赢
赢得
白痴
下流
王八蛋
他妈的
白目
呸
垃圾
怪胎
放屁
狗屁
淫妇
混蛋
笨蛋
妈的
愚蠢
该死
贱
贱人
贱货
操
荡妇
蹩脚
坏蛋
烂货
八卦
仇人
仇恨
仇敌
分担
友
反驳
斗争
打岔
打架
打断
交往
同情
安心
伴侣
忌妒
抗议
批评
怀疑
取笑
坦白
奉承
奉献
拒绝
抱怨
放心
朋友
知己
怜悯
信服
信赖
侮辱
冒犯
怨恨
指责
原谅
辱骂
情人
甜心
逗弄
离婚
插嘴
款待
隔离
嘉奖
嘲弄
嘲笑
嘲讽
嘲骂
乐意
争吵
争论
亲切
亲爱
亲爱的
宝贝
宽恕
帮手
庆典
庆祝
开玩笑
归咎
恋人
恋爱
戏弄
挚友
敌人
欢迎
欢送
欢聚
热爱
爱人
爱恋
称赞
讥
诅咒
说服
说长道短
调情
谄媚
谴责
责备
赞美
赞扬
赞誉
钟爱
闲话
饶恕
驳斥
小道
凶
倒霉
惊叹
贪污
赞叹
ㄏㄏ
一无所有
七窍生烟
了不起
人心惶惶
下定决心
上当
上级
口吃
大方
大笑
大胆
小气
小偷
才能
才智
万念俱灰
万岁
丑
不仁
不贞
不顾一切
中断
仁心
仁慈
仁义
仁术
仁爱
仇
仇杀
仇视
元凶
公愤
分心
分手
分歧
分散
分裂
分红
勾引
厄运
及时
反抗
反叛
反派
反感
反对
天才
天堂
天资
天赋
幻想
引人注目
引诱
心灰意冷
心神不宁
心神不定
心情
心痛
心碎
心酸
心烦意乱
心爱
支配
欠债
毛骨悚然
火热
气急败坏
气愤
气馁
世仇
乏味
仔细
充沛
出色
功劳
占便宜
可口
可怕
可怜
可笑
可悲
可鄙
可憎
可靠
可恶
可爱
可耻
古怪
外向
外行
外伤
失眠
失控
失望
失误
平安
平和
平庸
平稳
平静
打仗
打扰
打倒
打破
打情骂俏
打击
打搅
打败
末日
正面
生气
生气勃勃
生命力
生病
生疏
生动
生厌
用力
目瞪口呆
矛盾
宁静
交战
任性
光亮
光荣
光辉
劣
危
向往
合宜
吃惊
吃醋
后悔
回春
回避
多情
多疑
夸大
妄想
好玩
好笑
好棒
好处
好运
安宁
安全
安逸
安稳
安静
成就
成见
收获
曲解
有力
有用
有利
有助
有害
有效
有益
有趣
有钱
次要
次等
死人
死亡
死不
死心
死气
死刑
死期
死路
死对头
死当
污秽
灰心
百感交集
自大
自甘堕落
自由
自在
自私
自卑
自信
自尊
自豪
自暴自弃
自负
自责
自鸣得意
至高无上
至善
色情
优
优秀
优良
优柔寡断
优美
优胜
优惠
优雅
优势
优点
庄严
机敏
机警
机灵
作弊
作呕
低沉
低能
低能儿
低迷
低落
伶俐
克制
免费
冷
冷淡
冷酷
冷静
利己
利益
利润
吝啬
呆
吹毛求疵
吻
含糊
困
坎坷
坏人
坏心
坏死
坏事
坏处
坏话
坏运
妨害
妨碍
妓女
孝
孝敬
孝顺
完美
完善
完备
宏大
宏伟
局促
屁眼
岔开
巫婆
庇护
弄坏
弄痛
彷徨
忘恩负义
忍
快乐
抗争
扶持
扭曲
把握
批判
折磨
投入
抑制
抑郁
改善
改进
攻击
攻势
沉重
沉迷
沉着
牢骚
狂怒
狂笑
狂喜
狂暴
狂躁
狂热
私生子
肝肠寸断
良
走运
辛酸
邪恶
体面
体会
体谅
体贴
忐忑
怀乡
享受
依恋
佳
使劲
典范
刻薄
刺眼
刺痛
刺激
刺伤
卑劣
卑鄙
受不了
受苦
受虐
受害
受惠
受罪
受伤
受骗
呵呵
咒骂
咆啸
呼天抢地
和平
和善
和煦
和睦
和蔼
和谐
周到
命运
固执
坦率
坦诚
奇怪
奇特
孤
宜人
幸福
幸运
忠
忠心
