局
班
组
处
部
笔
队
需要
工作
付
代表
出版
失败
交换
成功
考验
努力
完成
命令
研究
要求
训练
教
教授
教导
访问
发表
经营
达到
管理
认识
调查
学习
赚钱
继续
培训
指示
分配
主人
兄弟
交易
同行
同事
同僚
老师
助手
听众
信赖
政府
政党
面试
面谈
党派
商定
通知
部门
集会
新生
演讲
聚集
会议
会谈
劝告
协商
团队
报导
组成
组织
联系
规划
论述
评论
请求
谈判
单位
领导
才能
支配
功劳
打败
成就
优胜
优势
利益
利润
完美
承担
信誉
保证
冠军
挑战
降级
胜利
胜过
挫败
擅长
奖
奖品
奖励
奖学金
奖赏
无效
无益
统治
荣誉
获胜
质疑
义务
引导
引领
占有
目的
共同
尽责
估算
判决
学会
延迟
延误
拖延
指定
指派
指挥
耽搁
探索
率领
裁定
习得
计算
试验
负责
责任
大夫
自助餐
病假
医生
医学
医师
病休
任期
年资
突出
推动
提升
替代
期限
等级
菜鸟
增进
学期
调动
工龄
岗龄
档次
老板
解雇
入学考
上流
上校
上课
大三
大学
大师
小考
小学
工人
工厂
工作间
工业
工会
工头
工资
中介
仆
仆人
介绍
公文
公司
公安
公会
分派
分数
升职
少校
心理
心理学
文书
文凭
文献
方案
方针
月薪
主任
主攻
主修
主席
主管
付款
付费
付钱
代表队
代理人
代理商
加分
加班
加盟
功课
可用
司
司法部
外包
外交
失业
市场
市长
幼儿园
必修
打字
正当
生物学
生涯
生意
生产
申请
申请人
目录
目标
企划
企业
先修
同仁
同学
合伙人
合并
合作
合法
合格
合约
回馈
好学
存货
并吞
年薪
年级
忙碌
成绩
成绩单
托福
收入
收发室
考试
自助餐厅
行业
机构
佣人
作业
利息
助教
助理
呈现
局长
批发
折合
系
系主任
系所
典当
命题
委外
委派
委员
委员会
委员长
定案
店员
征募
房屋
所得
招募
拍摄
抵押
抱负
服务
服务台
注册
法人
法官
法律
法律人
法学家
社
股份
股息
股票
初级
金融
便条纸
促销
前辈
咨商
契约
宣布
宣誓
待遇
律师
挖角
指导
政治
政治学
政策
政权
政见
津贴
科
科目
科系
科学
要职
降职
首领
复印
复习
柜台
胜任
修习
兼并
原则
家教
展示
徒劳
校园
校队
消费者
消费群
特派员
特权
特许
班级
神学家
秘书
粉笔
缺席
退休
退休金
退学
退职
院
院长
高中
高年级
副本
副总
副总裁
副总统
商业
商号
商场
培养
宿舍
教育
教育性
教室
教科书
教务长
教师
清单
移交
野心
博士
博学多闻
期中
期中考
期末考
登记
程序
策略
著作
裁员
量产
雄心
集团
雇主
雇用
黑板
新鲜
概要
概述
署
署长
聘用
聘请
董事
董事长
隔间
幕僚
截稿
摘要
演说
福利
精神
精简
遣散
履历
播音室
薪水
薪资
薪饷
藏书室
警力
警方
专科
专家
专业
专题
业务
义卖
书本
书桌
书籍
买主
亏待
产
仓库
会费
传真
养老金
决赛
凭据
剧团
办公室
办公桌
动员
劳力
劳工
劳方
劳动
协作
协商会
协会
协议
单据
参谋
发行
员工
国中生
图书馆
处长
备忘
备忘录
妇女会
学生
学年
学姊
学者
学徒
学校
学院
学业
学园
学术
学长
实现
实践
实验
审查
导演
导师
师兄
广告
库存
应用
开除
归于
归并
总统
执行
执行长
执照
报告
报酬
报纸
数学
样式
检验
毕业
毕业生
汇报
测验
猎人
画室
监督
盘问
硕士
税
税金
简历
类型
红利
纪录
纲领
纸张
练习
经理
经济
经纪人
结合
继任
继承
编辑
编辑部
职校
职业
职务
职员
联盟
联络处
节目
营收
营利
补助
誊本
计划
计算机
订约
讨论
讨论会
议会
议长
记录
讲座
讲授
讲师
讲课
论文
论点
论题
证照
证书
评分
试卷
试题
读书人
课
课本
课程
课业
课税
调任
负责人
财力
财金
贸易
资金
资格
资格考
资源
资遣
赚
赚得
转校
转让
辍学
辩护人
迁移
运算
邮件室
钢笔
铅笔
键盘
间谍
阅读
阶级
陆军
顾客
顾问
颁发
领袖
徒工
学科
学系
本科
代码
加点
写字台
职工
办公楼
写字楼
前台
总台
下岗
模式
审批
咨询
合同
本科生
打印
