不准
不理
不顾
否决
否定
否认
束
底
小心
忘
忘记
抓住
阻止
保存
保持
保留
要求
停止
停留
等
等待
结束
逼
管理
维持
遵守
反驳
回绝
拒绝
保密
秘密
对付
分歧
反对
支配
矛盾
克制
困
妨碍
局促
抑制
固执
忽略
忽视
抵制
服从
保卫
保护
保证
勉强
迫害
倔强
控制
疏忽
提防
禁止
禁忌
僵化
僵住
僵局
僵持
严峻
严格
严厉
压抑
压制
压迫
对抗
强迫
惩罚
狭隘
约束
缠身
缠讼
艰深
艰涩
艰难
设防
违心
违犯
违抗
违法
违背
违纪
违规
镇压
顾虑
制
抵触
保有
保险
义务
小心翼翼
干扰
干预
中止
劝阻
止住
主宰
占有
对立
平定
打消
压缩
守旧
守住
扣除
有异
有限
死板
自制
设定
告诫
局限
忌讳
戒律
戒除
抓
抓牢
抓紧
抗辩
束缚
牢固
防
取缔
受限
屈服
延迟
延期
延误
征服
抵不过
抵死
抵住
抵抗
抵挡
抵消
抵御
拒用
拖延
拘
极限
阻力
阻扰
阻抗
阻断
阻塞
阻碍
阻隔
阻檔
阻挠
保用
保全
保守
保安
保佑
保育
保命
保固
保重
保送
保温
保管
保养
保鲜
削减
封关
封存
封杀
封住
封条
封装
封箱
封锁
封闭
幽禁
急迫
持有
挡开
界线
相反
矜持
迫不
迫切
迫在眉睫
迫使
迫近
限
准则
捆
捉
捕捉
砥
耽搁
耽误
停下
停工
停办
停火
停车
停业
停用
停电
停住
停步
停放
停摆
停滞
停职
停课
停顿
停驶
教训
被迫
通牒
陷
强制
惩处
惩戒
惩治
掌控
掌管
握住
慎重
煞车
禁
禁不
禁令
禁足
禁制
禁阻
禁得
禁欲
禁绝
禁闭
逼迫
遏
截止
撤销
管制
障碍
僵固
凝固
遵从
避
避人
避开
避而不谈
避免
避难
避嫌
避讳
警告
警戒
警惕
专制
严密
严谨
围住
废止
废除
恶阻
挤压
检查
监视
监禁
监察
监管
紧
紧急
紧密
约定
终止
绑
缠手
缠斗
缠住
缠绕
缩
节制
规定
规律
规范
规则
让步
误导
责任
隐瞒
预防
设置
配置
延缓
