不平
不甘
不安
不利
不足
不定
不宜
不幸
不服
不知所措
不便
不耐
不耐烦
不准
不屑
不悦
不爽
不祥
不符
不顺
不当
不解
不满
不适
多余
否定
否认
单独
无力
无足轻重
无情
无理
无趣
无礼
随便
失去
失败
打
死
讨厌
逃避
丧失
干
损失
担心
输
错过
白痴
下流
王八蛋
他妈的
呸
垃圾
怪胎
放屁
狗屁
淫妇
混蛋
笨蛋
妈的
愚蠢
该死
贱
贱人
贱货
操
荡妇
蹩脚
坏蛋
烂货
八卦
仇人
仇恨
仇敌
反驳
斗争
打岔
打架
打断
忌妒
抗议
批评
怀疑
取笑
拒绝
抱怨
侮辱
冒犯
怨恨
指责
辱骂
逗弄
离婚
插嘴
隔离
嘲弄
嘲笑
嘲讽
嘲骂
争吵
争论
归咎
戏弄
敌人
讥
诅咒
说长道短
谴责
责备
闲话
驳斥
小道
凶
倒霉
贪污
一无所有
七窍生烟
人心惶惶
上当
口吃
小气
小偷
万念俱灰
丑
不仁
不贞
不顾一切
中断
仇
仇杀
仇视
元凶
公愤
分心
分歧
分裂
勾引
厄运
反抗
反叛
反派
反感
反对
心灰意冷
心神不宁
心神不定
心痛
心碎
心酸
心烦意乱
支配
欠债
毛骨悚然
气急败坏
气愤
气馁
世仇
乏味
占便宜
可怕
可怜
可笑
可悲
可鄙
可憎
可恶
可耻
古怪
外行
外伤
失眠
失控
失望
失误
平庸
打仗
打扰
打破
打击
打搅
打败
生气
生病
生疏
生厌
目瞪口呆
矛盾
交战
任性
劣
危
吃惊
吃醋
后悔
回避
多疑
妄想
成见
曲解
有害
次等
死人
死亡
死不
死心
死气
死刑
死期
死路
死对头
死当
污秽
灰心
自大
自甘堕落
自私
自卑
自暴自弃
自负
自责
优柔寡断
作弊
作呕
低沉
低能
低能儿
低迷
低落
冷
冷淡
冷酷
吝啬
呆
吹毛求疵
含糊
困
坎坷
坏人
坏心
坏死
坏事
坏处
坏话
坏运
妨害
妨碍
妓女
局促
屁眼
岔开
巫婆
弄坏
弄痛
彷徨
忘恩负义
忍
抗争
扭曲
批判
折磨
抑制
抑郁
攻击
攻势
沉重
沉迷
牢骚
狂怒
狂暴
狂躁
狂热
私生子
肝肠寸断
辛酸
邪恶
忐忑
刻薄
刺眼
刺痛
刺伤
卑劣
卑鄙
受不了
受苦
受虐
受害
受罪
受伤
受骗
咒骂
咆啸
呼天抢地
固执
奇怪
奇特
孤
忽略
忽视
怪
怪异
怪诞
怕
怕生
怕羞
性骚扰
抨击
拙劣
抵制
抱歉
放任
放弃
放纵
易怒
昏沉
昏乱
昏头
枉然
歧视
泣
泄气
沮丧
空洞
空虚
花招
非礼
非难
肮脏
侵占
侵犯
侵扰
侵害
侵略
侵袭
俗
俗气
勉强
叛乱
咬牙切齿
哀求
哀怨
哀凄
哀痛
哀愁
哀伤
哀号
哀恸
哄骗
威胁
怒
怒不
怒火
怒气
怒斥
怒目
怒色
怒吼
怒视
怒骂
恍惚
恨
挖苦
拮据
拷打
拷问
挑剔
挑衅
挂念
柔肠寸断
歪曲
毒
流泪
炫耀
狠心
看不起
背叛
胡扯
胡涂
致命
苛求
苦
苦恼
虐待
迫害
郁
重担
陌生
降级
复仇
倔强
凌乱
唐突
哭泣
哭喊
哭诉
哭闹
哽咽
奚落
害怕
害羞
差
差劲
弱
弱点
徒劳无功
恐怖
恐慌
恐吓
恐惧
恭维
悔之
悔改
悔恨
悔悟
悔意
悔过
挫折
挫败
消沉
消极
消灭
疲于奔命
疲乏
疲倦
疲弱
疲累
疲劳
疲惫
疼痛
破坏
破灭
神经病
神经质
缺少
缺乏
缺失
缺陷
缺德
缺憾
缺点
脆弱
臭
臭气
臭味
茫然
荒唐
荒谬
草率
衰
衰老
衰弱
衰退
衰微
衰败
逆向
迷惘
迷惑
迷乱
逃离
假装
偷
偷取
偷窃
偏执
偏见
啜泣
娼妓
寂寞
寂寥
得罪
徘徊
患病
惋惜
情绪
控制
排斥
敏感
欲绝
淡漠
淹没
混乱
混账
爽约
猜疑
疏忽
疏漏
盛怒
眼花撩乱
眼泪
窒息
窒碍
笨
笨手笨脚
笨拙
粗心
粗俗
粗野
粗暴
粗鲁
累
羞怯
羞辱
羞愧
羞愤
羞耻
逝世
造反
野蛮
麻木
麻烦
惊心
惊呆
惊扰
惊怕
惊恐
惊悚
惊愕
惊慌
惊疑
惊吓
惊险
惊骇
喜怒无常
喜新厌旧
寒酸
悲哀
悲苦
悲凄
悲情
悲痛
悲愁
悲伤
悲剧
悲恸
悲悯
悲惨
悲愤
悲观
惶
提防
散漫
棘手
欺
焦急
焦虑
痛
痛不欲生
痛苦
痛哭流涕
脾气
跛
跛脚
傲慢
嫉
嫌
愚笨
感伤
惹恼
愁
慌
愧
搏斗
禁止
禁忌
罪
罪人
罪大恶极
罪犯
罪名
罪行
罪孽
罪恶
罪过
落伍
落空
躲避
遇难
触目惊心
触怒
触景伤情
摧毁
漫不经心
疑心
疑神
疑惑
疑惧
疑点
疑虑
疑难
精疲力竭
精疲力尽
腐朽
腐臭
腐烂
腐败
鄙
酸
酷刑
鼻酸
僵化
僵住
僵冷
僵局
僵持
僵硬
憎
撒谎
暴力
暴怒
暴躁
蔑视
遭受
震怒
震惊
霉运
懊悔
懊恼
操心
操劳
激怒
激动
瘸
罹难
褫夺
蹂躏
默哀
懦
瞧不起
糟
糟糕
糟蹋
繁琐
蹧蹋
爆发
蠢
业障
丢人
丢人现眼
丢下
丢弃
丢脸
严峻
严酷
严厉
丧心
丧气
丧生
丧志
丧偶
丧尽
丧礼
丧胆
为难
义愤
乐极生悲
书呆子
乱
亏损
亵渎
众怒
伤
伤人
伤亡
伤天害理
伤心
伤害
伤神
伤痕
伤悲
伤痛
伤感
伤势
伤残
伪造
债务
内疚
冲突
冲击
创伤
剥夺
势利
压力
压抑
压制
压迫
厌世
厌食
厌倦
厌恶
厌烦
发抖
发牢骚
发狂
发怒
发愁
变味
变动
变质
叹
叹气
叹息
吓
呜咽
唠叨
堕落
处罚
对抗
对质
尴尬
强奸
强迫
强硬
强暴犯
忧心
忧郁
忧患
忧愁
忧伤
忧劳
忧烦
忧虑
恶
恶人
恶化
恶心
恶斗
恶劣
恶言
恶性
恶毒
恶狠狠
恶耗
恶臭
恶意
恶梦
恶运
恼
惧怕
惨
惩罚
愤
懒惰
懒散
战斗
战火
战乱
战争
执拗
扫兴
抛弃
报仇
报复
担忧
挣扎
损人
损坏
损害
损伤
搅乱
敌意
敌对
敌视
无用
无助
无味
无奈
无效
无益
无能
无望
无聊
无意义
无精打采
杀
杀死
杂乱
残忍
残酷
残暴
毁坏
毁掉
毁伤
毁弃
毁损
毁灭
毁谤
毁败
泪流满面
泪珠
滥用
灾
烂
烦
烦人
烦心
烦忙
烦扰
烦愁
烦躁
烦乱
烦劳
烦恼
烦杂
烦琐
烦闷
牵挂
牺牲
犹疑
犹豫
狭小
狭隘
琐事
琐碎
疯
盗
祸
穷
穷困
紧张
紧绷
约束
纷争
绝望
统治
绷紧
缠身
缠讼
胁迫
胆小
胆怯
脏
腻
艰巨
艰困
艰辛
艰苦
艰深
艰涩
艰险
艰难
虚弱
讽刺
诈骗
诉苦
诡计
误
误解
误会
说谎
调戏
谋杀
负心
负债
负担
败坏
贪
贪心
贪生
贪求
贪念
贪婪
贪欲
贪图
贫困
贫苦
贫病
贫穷
贫贱
贱民
贱骨头
费力
贼
踌躇
软弱
轻忽
轻蔑
轻视
输家
输掉
辞职
过失
过错
远离
违心
违犯
违抗
违法
违背
违约
违纪
违规
迟到
迟疑
迟钝
遗憾
遗弃
钝
铤而走险
错
错乱
错误
镇压
闷
闷闷不乐
阴沉
阴森
阴暗
陈腐
难吃
难堪
难熬
难过
难闻
难题
顽固
顽强
顾虑
颤抖
风险
骗
骚扰
骚动
龌龊
土气
花头
[bobo纠结]
[cai插眼]
[bed凌乱]
[泪流满面]
[淚流滿面]
[内牛满面]
[懒得理你]
[xb伤心]
[打哈欠]
[c抓狂]
[c委屈]
[c冷眼]
[沙尘暴]
[g头晕]
[右哼哼]
[左哼哼]
[c烦躁]
[好囧]
[糾結]
[闪电]
[不要]
[伤心]
[感冒]
[悲伤]
[生病]
[闭嘴]
[黑线]
[吃惊]
[失望]
[睡觉]
[拍砖]
[委屈]
[可怜]
[呜呜]
[抓狂]
[困]
[累]
[淚]
[弱]
[汗]
[囧]
[衰]
[泪]
[晕]
[din推撞]
[哭]
[挖鼻屎]
[浮云]
[打哈气]
[xb害怕]
[杀死你]
[草泥马]
[c发火]
[鄙视]
[怒骂]
[哼]
[怒]
[吐]
