city	lng	lat
南阳	112.5286	32.9906
内江	105.0584	29.5801
宁波	121.5503	29.8738
宁德	119.5482	26.6657
怒江傈僳族自治州	98.8568	25.8177
攀枝花	101.7187	26.5822
盘锦	122.0707	41.12
平顶山	113.1924	33.7662
平凉	106.6653	35.543
萍乡	113.8543	27.6229
莆田	119.0077	25.454
濮阳	115.0293	35.7618
普洱	115.0804	35.7694
七台河	131.0031	45.7705
齐齐哈尔	123.9179	47.3543
潜江	112.8993	30.4014
黔东南苗族侗族自治州	107.9841	26.5836
黔南布依族苗族自治州	107.5223	26.2543
黔西南布依族苗族自治州	104.9044	25.0899
钦州	108.6543	21.9797
秦皇岛	119.5997	39.9353
青岛	120.383	36.0663
青州	101.7801	36.6209
清远	113.0561	23.682
庆阳	107.6429	35.7098
琼海	110.4746	19.2584
琼中黎族苗族自治县	109.8384	19.0333
衢州	118.8742	28.9359
曲阜	116.9864	35.5808
曲靖	103.7963	25.49
泉州	118.6759	24.8739
日喀则	88.9496	29.2622
日喀则地区	88.9496	29.2622
日照	119.5272	35.4165
任丘	116.0995	38.7116
三河	117.0782	39.9825
三门峡	111.7432	34.747
三明	117.6392	26.2639
三亚	109.5121	18.2525
厦门	118.0894	24.4796
山南地区	91.7731	29.2371
汕头	116.6822	23.3535
汕尾	115.3751	22.7857
商洛	109.9404	33.8704
商丘	115.6563	34.4143
上海	121.4737	31.2304
上饶	117.9436	28.4546
韶关	113.5972	24.8104
邵阳	111.4677	27.2389
绍兴	120.5802	30.0303
深圳	114.0595	22.5428
神农架	110.6755	31.7446
神农架林区	110.6755	31.7446
沈阳	123.4324	41.8056
十堰	110.798	32.6291
石河子	86.0789	44.3066
石家庄	114.5143	38.0428
石嘴山	106.3842	38.9841
双鸭山	131.1591	46.6466
朔州	112.4318	39.3316
四平	124.3503	43.1666
松原	124.8252	45.1411
苏州	120.5832	31.2983
绥化	126.9693	46.6525
随州	113.3826	31.6901
遂宁	105.5927	30.5329
塔城地区	82.9804	46.7453
台北市	121.5249	25.0422
台南市	120.2269	22.9999
台中市	120.6736	24.1477
台州	121.4206	28.6561
太仓	121.1297	31.4591
太原	112.5507	37.8706
泰安	117.0884	36.2
泰州	119.9255	32.4554
唐山	118.1806	39.6304
桃园市	121.301	24.9936
天津	117.1994	39.085
天门	113.1662	30.6634
天水	105.7248	34.5809
铁岭	123.8424	42.2862
通化	125.9399	41.7283
通辽	122.2447	43.6525
铜川	108.9451	34.8967
